"","playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","W","L","G.1","GS","CG","SHO","SV","IPouts","H.1","ER","HR.1","BB.1","SO.1","BAOpp","ERA","IBB.1","WP","HBP.1","BK","BFP","GF","R.1","SH.1","SF.1","GIDP.1","POS"
"332","broxtjo01",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,0,0,0,0,110,41,24,5,10,37,0.287,5.89,1,0,0,0,156,10,24,2,1,5,"P"
"333","broxtjo01",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,0,0,0,0,71,20,7,2,12,26,0.233,2.66,0,0,0,0,101,5,8,3,0,2,"P"
"334","broxtjo01",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,0,0,0,0,71,20,7,2,12,26,0.233,2.66,0,0,0,0,101,5,8,3,0,2,"P"
"335","broxtjo01",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,0,0,0,0,110,41,24,5,10,37,0.287,5.89,1,0,0,0,156,10,24,2,1,5,"P"
"336","broxtjo01",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,0,0,0,0,110,41,24,5,10,37,0.287,5.89,1,0,0,0,156,10,24,2,1,5,"P"
"337","broxtjo01",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,0,0,0,0,71,20,7,2,12,26,0.233,2.66,0,0,0,0,101,5,8,3,0,2,"P"
"338","broxtjo01",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,0,0,0,0,71,20,7,2,12,26,0.233,2.66,0,0,0,0,101,5,8,3,0,2,"P"
"340","fiersmi01",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,9,1,1,0,187,45,23,10,21,59,0.197,3.32,0,2,1,0,252,0,26,0,2,1,"P"
"341","fiersmi01",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,9,1,1,0,187,45,23,10,21,59,0.197,3.32,0,2,1,0,252,0,26,0,2,1,"P"
"342","fiersmi01",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,21,21,0,0,0,354,117,51,14,43,121,0.259,3.89,5,6,5,0,509,0,57,3,6,7,"P"
